country_name,didi_score_equal,didi_rank_equal,didi_score_digital,didi_rank_digital,didi_score_equity,didi_rank_equity,cluster,cluster_name,year,internet_pct,gini,log_gdp,edu_spend_gdp,electricity_access,rank_range
Iceland,0.940101233642294,1,0.9504577279078116,1,0.9344343493170304,1,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,97.58339691,26.8,11.087976533507971,7.30798006057739,100.0,0
Sweden,0.8838203286894668,2,0.9092643955679324,5,0.8407961252343146,5,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,95.00970335,31.6,11.052292571601347,7.31909990310669,100.0,3
Belgium,0.8487773222547172,3,0.911103095586806,4,0.8579369705465356,3,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,94.00783071,26.4,11.043909844208509,6.27611017227173,100.0,1
Finland,0.8486178805309321,4,0.8992724671134852,6,0.8501921070067661,4,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,92.98879471,27.9,10.952004174073158,6.37578010559082,100.0,2
Denmark,0.8462656265177845,5,0.9240203099449216,2,0.832166934758243,6,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,97.86011812,29.3,11.148726858631605,6.35586023330688,100.0,4
Kyrgyz Republic,0.829164647233599,6,0.7731119620672819,37,0.9032099232428452,2,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,84.1937027,26.4,8.722543845934766,7.16884382244099,99.7,35
United Kingdom,0.780927772813562,7,0.8837975288879606,7,0.7529407567272561,11,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,95.46530151,32.4,10.880669247266908,5.90681982040405,100.0,4
Norway,0.7742499132901293,8,0.9128018301415264,3,0.7812278587416239,8,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,98.99997764,26.9,11.419175981810312,5.43234014511108,100.0,5
Moldova,0.7647485298415931,9,0.7039023257959326,54,0.8240562739085854,7,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,74.91899872,25.9,9.639392789687273,6.10430002212524,100.0,47
Slovenia,0.749661334811737,10,0.8460586416320217,14,0.7781001527709797,9,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,88.91248552,24.3,10.758967582720553,5.28065013885498,100.0,5
Netherlands,0.7458656362522622,11,0.8766987739919855,8,0.7649663450717451,10,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,92.51968504,25.7,11.174988660882452,5.17918014526367,100.0,3
"Korea, Rep.",0.7371829979417913,12,0.8763980125427145,9,0.7105564973269326,17,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,97.16855335,32.9,10.882351191848173,5.40910005569458,100.0,8
Austria,0.7344361620767877,13,0.8710122644793705,10,0.7253130616250494,14,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,93.61409139,30.9,11.092771268441906,5.27749013900757,100.0,4
Israel,0.7292233699998896,14,0.8309448764401286,20,0.6595862692278622,28,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,91.85079615,38.3,10.780999767973665,5.93291997909546,100.0,14
Bolivia,0.7224185542570096,15,0.6507282858085918,62,0.6682425338787933,26,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,72.62270355,41.2,9.349033472031492,7.57551002502441,99.9,47
France,0.7205290305302737,16,0.8047614606437113,28,0.7199861589791157,16,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,85.33331734,31.2,10.890680521722915,5.32434988021851,100.0,12
Estonia,0.7138822051493531,17,0.8439626342741002,16,0.7004813946471389,18,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,91.52016546,32.3,10.671942388962352,5.20733976364136,100.0,2
Germany,0.7111748618302469,18,0.8457418897304327,15,0.6842045928699169,20,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,91.62984383,33.7,11.061564383672016,5.23916006088257,100.0,5
Ukraine,0.7029717839024308,19,0.744204374116545,45,0.7521383926443759,12,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,80.47429657,25.6,9.53149018131649,5.14010000228882,100.0,33
Australia,0.7014776460707784,20,0.8626144225912642,12,0.6720017325467976,24,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,96.11940002,33.8,11.002585272014857,5.05915021896362,100.0,12
Slovak Republic,0.6939787373205762,21,0.8300612718718251,21,0.7277905349306614,13,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,89.06766196,24.1,10.562687689738723,4.65688991546631,100.0,8
Canada,0.6928934189839911,22,0.8580092619066234,13,0.6841182620462101,21,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,94.0,31.5,10.973718562392552,4.84426021575928,100.0,9
Belarus,0.6883256161943211,23,0.8245510348379486,24,0.7239782263685837,15,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,89.50733148,24.4,10.186314419084187,4.62823009490967,100.0,9
Switzerland,0.6874242615852404,24,0.8628421171006458,11,0.6580490685239235,29,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,96.45279694,33.8,11.32390907066432,4.86427021026611,100.0,18
Cyprus,0.6758273575839282,25,0.8265029868230633,23,0.6735176193097032,23,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,89.60099194,31.5,10.83217703869434,4.74210977554321,100.0,2
United States,0.6691069402223496,26,0.8134044794146944,27,0.5789186997835202,41,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,92.72850037,41.7,11.193811306987852,5.42038011550903,100.0,15
Malta,0.6601635612376187,27,0.8284346980833446,22,0.6329564670471859,33,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,91.54062209,34.6,10.948030031403247,4.71258020401001,100.0,11
Spain,0.6588625867684659,28,0.8419307820193371,17,0.6384154279175361,31,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,94.4855432,33.6,10.752216124211673,4.58553981781006,100.0,14
Kazakhstan,0.6557555212176651,29,0.8337467352389989,19,0.6696905085592688,25,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,92.29685266,29.2,10.419487610476702,4.36185360851405,100.0,10
Czechia,0.6522506958558548,30,0.788005810733767,32,0.6878615615940399,19,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,84.54009378,25.9,10.78706213356606,4.30291986465454,100.0,13
Poland,0.6454194176611471,31,0.8016301729690892,30,0.6659368757753772,27,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,86.94113479,28.9,10.678330417997634,4.31372976303101,100.0,4
Latvia,0.6289464332102692,32,0.8140380422899091,26,0.6150848414109192,37,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,91.03009059,33.7,10.537911531386063,4.3196702003479,100.0,11
West Bank and Gaza,0.6247241200905067,33,0.6226555107113023,67,0.6524292728485378,30,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2019,70.6225837001758,33.7,8.743514304175353,5.07798004150391,100.0,37
Portugal,0.6201288553899351,34,0.7637696717124638,40,0.592462159503557,40,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,84.49690644,36.3,10.623054174662943,4.55160999298096,100.0,6
Hungary,0.616038995639665,35,0.7737187868839733,36,0.632571776841347,34,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2020,84.77115202,30.6,10.49458875089724,4.12265014648438,100.0,2
Argentina,0.6153781679599594,36,0.7717063143397724,38,0.5490398596880993,50,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,88.37535691,40.7,10.23369115904557,4.79263019561768,100.0,14
Chile,0.6149201018300294,37,0.7841537395350993,33,0.5253082809233253,57,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,92.31819916,43.2,10.294497944540074,4.91201019287109,100.0,24
Croatia,0.611315517845879,38,0.7529574069397443,43,0.6347596959512307,32,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,82.07155532,30.0,10.593229193021507,4.0916600227356,100.0,11
Costa Rica,0.6086159481891572,39,0.7087815966050656,52,0.5046130233064156,59,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,82.59801121,47.2,10.119877120890814,5.5472297668457,100.0,20
Russian Federation,0.6053630416295779,40,0.8039701700265129,29,0.5927636028535244,38,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,90.41799163,33.9,10.55097020150474,4.05402755323777,100.0,11
Lithuania,0.6019385410886007,41,0.7832851490145218,34,0.5696005982560172,43,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,87.72420219,36.6,10.750454241971385,4.25285005569458,100.0,9
Luxembourg,0.6013609049102124,42,0.8390172895992974,18,0.5746445024330535,42,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,98.24203749,34.1,11.794872320939708,3.74451994895935,100.0,24
Italy,0.5987780963494395,43,0.7713439573927897,39,0.5926740688673278,39,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,85.06074504,33.7,10.86538868280361,4.06775999069214,100.0,4
Uruguay,0.5960170828475969,44,0.777875272505194,35,0.5307483430406907,56,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,89.87304314,40.6,10.335422661121148,4.4795298576355,100.0,21
Mongolia,0.5924291797084607,45,0.7255467837019114,49,0.6161243370022361,36,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,81.07720184,31.4,9.636289897583028,4.06898021697998,100.0,13
Bulgaria,0.5894419771222059,46,0.7072429115429443,53,0.557188764747586,48,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,79.12686326,38.2,10.38695617518222,4.50109004974365,100.0,7
India,0.5831532496147434,47,0.4979898276446124,72,0.6783568994945735,22,,,2022,55.9,25.5,9.05881956433494,4.5,99.1,50
Brazil,0.5736443771756028,48,0.6697406630517084,61,0.4572121048531441,65,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,80.52775094,51.9,9.828443167314996,5.61920976638794,100.0,17
"Egypt, Arab Rep.",0.5620848712958956,49,0.6473541106904845,63,0.6168460343956387,35,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,72.19806556,28.5,9.70261849587614,3.76082992553711,100.0,28
Ireland,0.5552961687075301,50,0.8191071814909756,25,0.5628366606164216,46,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,95.03690338,29.9,11.721719156240615,2.90461993217468,100.0,25
Georgia,0.5533494181209714,51,0.7001766835345026,55,0.5667969459987181,45,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,78.71127536,33.5,9.950682542191574,3.75498008728027,100.0,10
Japan,0.5482089858635074,52,0.7575218781755214,42,0.557789701778286,47,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,84.92343147,32.3,10.713802998402551,3.33663988113403,100.0,10
Tajikistan,0.5463611365972201,53,0.3982260730396748,75,0.5680788216154813,44,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,48.91429901,39.5,8.34610973403503,5.39829770599001,100.0,31
Romania,0.5443511221367447,54,0.7589400561102843,41,0.554225404616656,49,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,85.50309124,32.3,10.577884768082816,3.2788200378418,100.0,13
Greece,0.539751282231464,55,0.7389159606278783,46,0.5458296583741351,52,1.0,"Unequal Digitalizers (Tech Growth, High Ineq.)",2022,83.17066333,33.4,10.48657832503267,3.37547993659973,100.0,9
Malaysia,0.5395618273559223,56,0.7910723432953686,31,0.471270571250602,64,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,97.3986404,40.7,10.377521230901891,3.49933781956284,100.0,33
North Macedonia,0.5320191462667729,57,0.7359769053058144,47,0.5396771310292291,54,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,83.85030365,33.5,10.03549463587821,3.30014991760254,100.0,10
Dominican Republic,0.5296327709891975,58,0.7129763690682624,51,0.513317770198933,58,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,81.51269675,37.0,10.042682294128982,3.61088872070271,98.1,7
Serbia,0.520070020138392,59,0.7323899895688308,48,0.5336270135376046,55,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,83.53825397,32.8,10.112611285853356,3.08255004882812,100.0,11
Colombia,0.5181808022192981,60,0.5947511363005838,68,0.4074657220432799,70,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,72.79637855,54.8,9.823292217794483,5.26166009902954,100.0,10
Mexico,0.5166290281650318,61,0.6727816495462328,59,0.4513417957488651,67,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,78.63217894,43.5,9.97076563183832,4.05987977981567,100.0,8
Albania,0.509969304620739,62,0.7220466529080146,50,0.5476281393736863,51,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,82.61367544,29.4,9.87245463067242,2.72977995872498,100.0,12
Peru,0.5057750147383616,63,0.6415164001666762,64,0.4760378259128396,62,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,74.67495213,40.3,9.652447335175944,3.83975005149841,96.2,2
Thailand,0.4903572958408879,64,0.7465997857602092,44,0.490161739723478,60,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,87.97724503,34.3,9.940917974644163,2.61187022798634,99.9,20
Armenia,0.4895146028138355,65,0.6740309063070601,58,0.5442011056714852,53,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,77.02767465,27.9,9.7917835364512,2.4918999671936,100.0,12
Philippines,0.4809972280597666,66,0.6345041003611362,66,0.4525710907077386,66,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,75.21114422,40.7,9.154521479238996,3.57960089528426,94.8,0
"Iran, Islamic Rep.",0.4743380806368799,67,0.6994996981385116,56,0.481801796433432,61,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,81.71649933,34.8,9.703691872524637,2.6699800491333,100.0,11
Viet Nam,0.4713700962960861,68,0.6713442119191928,60,0.4750084189374104,63,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,78.58999918,36.1,9.471146800955015,2.88738689372749,100.0,8
Turkiye,0.4584150028985284,69,0.6975063629525079,57,0.3799577524090384,74,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,83.43716576,44.5,10.419921752943475,3.09571003913879,100.0,17
Paraguay,0.4520132393914094,70,0.6359129201625706,65,0.3883703330954577,72,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,76.25916611,44.6,9.632934315799671,3.39619994163513,100.0,7
Honduras,0.4508851829003169,71,0.4466348848092715,74,0.3996730316262001,71,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,56.88069916,48.2,8.75661742651745,4.48280030802056,94.4,3
Ecuador,0.4427558026791315,72,0.5768490811142261,69,0.3837245759075152,73,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,69.71811356,45.5,9.560055874898769,3.61301994323731,100.0,4
El Salvador,0.4270666636847919,73,0.4944288732333877,73,0.4436627451420629,69,0.0,"Emerging Digital (Growing Tech, Moderate Ineq.)",2022,60.05609894,38.8,9.313403854143615,3.26848006248474,100.0,4
Panama,0.3966036831281344,74,0.5451333841020893,70,0.3054227844297115,76,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2022,67.2838974,50.9,10.43161717305065,3.37781000137329,95.0,6
Indonesia,0.3403776467499591,75,0.5395854399552263,71,0.3773975853197832,75,2.0,"Digital Leaders (High Tech, Low Inequality)",2022,66.48461277,35.5,9.498092346592026,0.863943349575907,100.0,4
Pakistan,0.3134552214479419,76,0.1988465344365271,76,0.4484178724804854,68,3.0,"Lagging & Unequal (Low Tech, High Inequality)",2021,18.935,29.6,8.588075357861873,1.68746129213991,94.9,8
